Sheet,Title as published,Group
T2.44 (3),"Per Capita Consumption (GRID), 2004-05 to 2018-19",Theme 2 table
T2.44(4),"Per Capita Generation and Consumption (GRID), 2019-20 to 2023-24",Theme 2 table
T2.45,Access to Electricity,Theme 2 table
T2.51,"Area Under Land Use Categories by District, 2015 Area in Sq. Km.",Theme 2 table
T2.51(2),"Area Under Land Use Categories by District, 2015 & 2023 Area in Sq. Km.",Theme 2 table
T2.51(3),"Area Under Land Use Categories by District, 2015 and 2023 Area in Sq. Km.",Theme 2 table
T2.51(4),"Area Under Land not in use Categories by District, 2015 & 2023 Area in Sq. Km.",Theme 2 table
T2.51(5),"Area Under Land Other uses of inland water Categories by District, 2015 & 2023 Area in Sq. Km.",Theme 2 table
T2.51(6),"Area Under Land Inland waters not in use Categories by District, 2015 & 2023 Area in Sq. Km.",Theme 2 table
T2.52,"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (10),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (11),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (12),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (13),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (14),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (15),"General Soil Type, 2015- 2019",Theme 2 table
T2.52 (16),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (2,"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (3),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (4),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (5),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (6),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (7),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (8),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52 (9),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(0),"General Soil type and Districts, 1997*",Theme 2 table
T2.52(17),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(18),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(19),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(20),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(21),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(22),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(23),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.52(24),"General Soil Type by Soil Characteristics, 1997",Theme 2 table
T2.53,"Physiography Unit by District, 2013",Theme 2 table
T2.57,"Aquatic Resources and Amount by District, 2019-20 to 2023-24",Theme 2 table
T2.57 (2),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.57 (3),"Aquatic Resources and Amount by District, 2019-20 to 2023-24",Theme 2 table
T2.57 (4),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.58,"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.58 (2),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.58 (3),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.58 (4),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.58 (5),"Aquatic Resources and Amount by District, 2019",Theme 2 table
T2.59,"Area Harveste of Perennial crops , 2019-20 to 2021-22",Theme 2 table
T2.59 (2),"Production of Perennial crops , 2019-20 to 2021-22",Theme 2 table
T3.10,Amount of Hazardous Waste Generated (Metric Ton),Theme 3 table
T3.11,Quantity of Solid Waste Gets Collected (Metric Ton),Theme 3 table
T3.12,"Monthly Solid Wast and Organic Waste Generated of Household by Division and Location, 2024",Theme 3 table
T3.13,Treatment of Waste Water by Type of Treatment (Cubic Meter),Theme 3 table
T3.14 (2),Treatment of Industrial Waste Water by type of Treatment (Cubic Meter),Theme 3 table
T3.14 (3),Treatment of Industrial Waste Water by type of Treatment (Cubic Meter),Theme 3 table
T3.15,Treatment of Hazardous Waste by type of Treatment (Metric Ton),Theme 3 table
T3.16,Disposal of Solid Waste by Disposal Method (Metric Ton),Theme 3 table
T3.17,Municipal Solid Waste Generated,Theme 3 table
T3.18,Disposal of Solid Waste by Disposal Method (Metric Ton),Theme 3 table
T3.19,Composition and Amount of Collected Organic Solid Waste (in Metric Ton) by Types of Municipalities,Theme 3 table
T3.21,Disposal of Solid Waste by Disposal Method (Metric Ton),Theme 3 table
T3.23,Quantity of Solid Waste Gets Collected (Metric Ton),Theme 3 table
T3.24,Disposal of Solid Waste by Disposal Method (Metric Ton),Theme 3 table
T3.25,Disposal of Solid Waste by Disposal Method (Metric Ton),Theme 3 table
T5.01(4),Number of Total Rural Areas,Theme 5 table
T5.37,"General Household by Main Source of Drinking Water, Division and Location, 2022",Theme 5 table
T5.63,"Urban General Household by Floor Material of Main Dwelling by District, 2022",Theme 5 table
T6.09 (2),"Knowledge and Perception About Climate Change by Division and District, 2015-2020",Theme 6 table
Template,Name of the Indicators,Workbook front matter
