Station_Name,Year,Month,Day,Sample_No,Radiation,Block
Bogura,2019,2,18,1,0.025,B15
Bogura,2019,2,19,1,0,B15
Bogura,2019,2,20,1,0.012,B15
Bogura,2019,2,21,1,0.1,B15
Bogura,2019,2,22,1,0.025,B15
Bogura,2019,2,23,1,0.2,B15
Bogura,2019,2,24,1,0.037,B15
Bogura,2019,2,25,1,0,B15
Bogura,2019,2,26,1,0.012,B15
Bogura,2019,2,27,1,0,B15
Bogura,2019,2,28,1,0.012,B15
Bogura,2019,2,1,2,1,B15
Bogura,2019,2,2,2,0.137,B15
Bogura,2019,2,3,2,1.2,B15
Bogura,2019,2,4,2,0.162,B15
Bogura,2019,2,5,2,2,B15
Bogura,2019,2,6,2,0.262,B15
Bogura,2019,2,7,2,0.8,B15
Bogura,2019,2,8,2,0.112,B15
Bogura,2019,2,9,2,0.6,B15
Bogura,2019,2,10,2,0.087,B15
Bogura,2019,2,11,2,0.8,B15
Bogura,2019,2,12,2,0.112,B15
Bogura,2019,2,13,2,0.9,B15
Bogura,2019,2,14,2,0.125,B15
Bogura,2019,2,15,2,0.6,B15
Bogura,2019,2,16,2,0.087,B15
Bogura,2019,2,17,2,0.3,B15
Bogura,2019,2,18,2,0.05,B15
Bogura,2019,2,19,2,0.2,B15
Bogura,2019,2,20,2,0.037,B15
Bogura,2019,2,21,2,1,B15
Bogura,2019,2,22,2,0.137,B15
Bogura,2019,2,23,2,0.7,B15
Bogura,2019,2,24,2,0.1,B15
Bogura,2019,2,25,2,0.8,B15
Bogura,2019,2,26,2,0.112,B15
Bogura,2019,2,27,2,0.6,B15
Bogura,2019,2,28,2,0.087,B15
Bogura,2019,2,1,3,2.1,B15
Bogura,2019,2,2,3,0.275,B15
Bogura,2019,2,3,3,1.9,B15
Bogura,2019,2,4,3,0.25,B15
Bogura,2019,2,5,3,1.2,B15
Bogura,2019,2,6,3,0.162,B15
Bogura,2019,2,7,3,1.8,B15
Bogura,2019,2,8,3,0.237,B15
Bogura,2019,2,9,3,1.7,B15
Bogura,2019,2,10,3,0.225,B15
Bogura,2019,2,11,3,1.8,B15
Bogura,2019,2,12,3,0.237,B15
Bogura,2019,2,13,3,1.1,B15
Bogura,2019,2,14,3,0.15,B15
Bogura,2019,2,15,3,0.8,B15
Bogura,2019,2,16,3,0.112,B15
Bogura,2019,2,17,3,1.6,B15
Bogura,2019,2,18,3,0.212,B15
Bogura,2019,2,19,3,1.3,B15
Bogura,2019,2,20,3,0.175,B15
Bogura,2019,2,21,3,1.6,B15
Bogura,2019,2,22,3,0.212,B15
Bogura,2019,2,23,3,2.7,B15
Bogura,2019,2,24,3,0.35,B15
Bogura,2019,2,25,3,1.7,B15
Bogura,2019,2,26,3,0.225,B15
Bogura,2019,2,27,3,1.6,B15
Bogura,2019,2,28,3,0.212,B15
Bogura,2019,2,1,4,2,B15
Bogura,2019,2,2,4,0.262,B15
Bogura,2019,2,3,4,3.1,B15
