Station_Name,Year,Month,Rainfall,Block
Chuadanga,2011,6,358,B05
Chuadanga,2011,7,321,B05
Chuadanga,2011,8,405,B05
Chuadanga,2011,9,240,B05
Chuadanga,2011,10,17,B05
Chuadanga,2011,11,1,B05
Chuadanga,2011,12,0,B05
Chuadanga,2012,1,27,B05
Chuadanga,2012,2,0,B05
Chuadanga,2012,3,6,B05
Chuadanga,2012,4,74,B05
Chuadanga,2012,5,48,B05
Chuadanga,2012,6,125,B05
Chuadanga,2012,7,322,B05
Chuadanga,2012,8,143,B05
Chuadanga,2012,9,173,B05
Chuadanga,2012,10,132,B05
Chuadanga,2012,11,81,B05
Chuadanga,2012,12,7,B05
Chuadanga,2013,1,3,B05
Chuadanga,2013,2,12,B05
Chuadanga,2013,3,1,B05
Chuadanga,2013,4,32,B05
Chuadanga,2013,5,260,B05
Chuadanga,2013,6,156,B05
Chuadanga,2013,7,169,B05
Chuadanga,2013,8,202,B05
Chuadanga,2013,9,122,B05
Chuadanga,2013,10,208,B05
Chuadanga,2013,11,0,B05
Chuadanga,2013,12,0,B05
Chuadanga,2014,1,1,B05
Chuadanga,2014,2,37,B05
Chuadanga,2014,3,54,B05
Chuadanga,2014,4,0,B05
Chuadanga,2014,5,53,B05
Chuadanga,2014,6,236,B05
Chuadanga,2014,7,179,B05
Chuadanga,2014,8,271,B05
Chuadanga,2014,9,163,B05
Chuadanga,2014,10,96,B05
Chuadanga,2014,11,0,B05
Chuadanga,2014,12,0,B05
Jessore,2011,1,0,B05
Jessore,2011,2,0,B05
Jessore,2011,3,34,B05
Jessore,2011,4,33,B05
Jessore,2011,5,132,B05
Jessore,2011,6,314,B05
Jessore,2011,7,296,B05
Jessore,2011,8,306,B05
Jessore,2011,9,227,B05
Jessore,2011,10,18,B05
Jessore,2011,11,1,B05
Jessore,2011,12,0,B05
Jessore,2012,1,31,B05
Jessore,2012,2,4,B05
Jessore,2012,3,5,B05
Jessore,2012,4,82,B05
Jessore,2012,5,36,B05
Jessore,2012,6,221,B05
Jessore,2012,7,334,B05
Jessore,2012,8,187,B05
Jessore,2012,9,271,B05
Jessore,2012,10,71,B05
Jessore,2012,11,61,B05
Jessore,2012,12,2,B05
Jessore,2013,1,6,B05
Jessore,2013,2,15,B05
Jessore,2013,3,8,B05
Jessore,2013,4,63,B05
Jessore,2013,5,278,B05
Jessore,2013,6,203,B05
Jessore,2013,7,249,B05
Jessore,2013,8,309,B05
Jessore,2013,9,322,B05
Jessore,2013,10,223,B05
Jessore,2013,11,0,B05
Jessore,2013,12,0,B05
Jessore,2014,1,0,B05
Jessore,2014,2,19,B05
Jessore,2014,3,10,B05
Jessore,2014,4,0,B05
Jessore,2014,5,165,B05
Jessore,2014,6,286,B05
Jessore,2014,7,435,B05
Jessore,2014,8,180,B05
Jessore,2014,9,186,B05
Jessore,2014,10,37,B05
Jessore,2014,11,0,B05
Jessore,2014,12,0,B05
Khulna,2011,1,0,B05
Khulna,2011,2,1,B05
Khulna,2011,3,16,B05
Khulna,2011,4,28,B05
Khulna,2011,5,145,B05
Khulna,2011,6,381,B05
Khulna,2011,7,387,B05
Khulna,2011,8,614,B05
Khulna,2011,9,367,B05
Khulna,2011,10,3,B05
Khulna,2011,11,6,B05
Khulna,2011,12,0,B05
Khulna,2012,1,66,B05
Khulna,2012,2,18,B05
Khulna,2012,3,1,B05
Khulna,2012,4,52,B05
Khulna,2012,5,63,B05
Khulna,2012,6,255,B05
Khulna,2012,7,391,B05
Khulna,2012,8,254,B05
Khulna,2012,9,374,B05
Khulna,2012,10,89,B05
Khulna,2012,11,80,B05
Khulna,2012,12,2,B05
Khulna,2013,1,1,B05
Khulna,2013,2,7,B05
Khulna,2013,3,19,B05
Khulna,2013,4,62,B05
Khulna,2013,5,430,B05
Khulna,2013,6,212,B05
Khulna,2013,7,313,B05
Khulna,2013,8,482,B05
Khulna,2013,9,278,B05
Khulna,2013,10,260,B05
Khulna,2013,11,0,B05
Khulna,2013,12,0,B05
