Station_Name,Year,Month,Type,Wind_Speed,Direction
Barisal,2017,5,Minimum,1,210
Barisal,2017,6,Maximum,10,210
Barisal,2017,6,Minimum,1,180
Barisal,2017,7,Maximum,8,180
Barisal,2017,7,Minimum,1,180
Barisal,2017,8,Maximum,10,150
Barisal,2017,8,Minimum,1,150
Barisal,2017,9,Maximum,12,120
Barisal,2017,9,Minimum,1,210
Barisal,2017,10,Maximum,10,220
Barisal,2017,10,Minimum,1,60
Barisal,2017,11,Maximum,6,330
Barisal,2017,11,Minimum,1,360
Barisal,2017,12,Maximum,3,180
Barisal,2017,12,Minimum,1,320
Barisal,2018,1,Maximum,6,320
Barisal,2018,1,Minimum,1,320
Barisal,2018,2,Maximum,8,310
Barisal,2018,2,Minimum,1,320
Barisal,2018,3,Maximum,8,210
Barisal,2018,3,Minimum,1,210
Barisal,2018,4,Maximum,10,360
Barisal,2018,4,Minimum,1,50
Barisal,2018,5,Maximum,15,180
Barisal,2018,5,Minimum,1,70
Barisal,2018,6,Maximum,12,120
Barisal,2018,6,Minimum,1,90
Barisal,2018,7,Maximum,15,150
Barisal,2018,7,Minimum,1,180
Barisal,2018,8,Maximum,12,120
Barisal,2018,8,Minimum,1,120
Barisal,2018,9,Maximum,15,90
Barisal,2018,9,Minimum,1,120
Barisal,2018,10,Maximum,10,120
Barisal,2018,10,Minimum,1,230
Barisal,2018,11,Maximum,21,40
Barisal,2018,11,Minimum,1,300
Barisal,2018,12,Maximum,6,330
Barisal,2018,12,Minimum,1,320
Barisal,2019,1,Maximum,3.5,300
Barisal,2019,1,Minimum,1,320
Barisal,2019,2,Maximum,3,180
Barisal,2019,2,Minimum,1,210
Barisal,2019,3,Maximum,5,200
Barisal,2019,3,Minimum,1,210
Barisal,2019,4,Maximum,5,210
Barisal,2019,4,Minimum,1,40
Barisal,2019,5,Maximum,10,180
Barisal,2019,5,Minimum,2,180
Barisal,2019,6,Maximum,9,360
Barisal,2019,6,Minimum,1,120
Barisal,2019,7,Maximum,5,120
Barisal,2019,7,Minimum,1,180
Barisal,2019,8,Maximum,5.5,130
Barisal,2019,8,Minimum,1,120
Barisal,2019,9,Maximum,5,100
Barisal,2019,9,Minimum,1,210
Barisal,2019,10,Maximum,1.5,100
Barisal,2019,10,Minimum,1,60
Barisal,2019,11,Maximum,10,300
Barisal,2019,11,Minimum,1,320
Barisal,2019,12,Maximum,1,320
Barisal,2019,12,Minimum,1,320
Barisal,2020,1,Maximum,3,320
Barisal,2020,1,Minimum,1,320
Barisal,2020,2,Maximum,2,210
Barisal,2020,2,Minimum,1,30
Barisal,2020,3,Maximum,2.5,240
Barisal,2020,3,Minimum,1,320
Barisal,2020,4,Maximum,5,300
Barisal,2020,4,Minimum,1,150
Barisal,2020,5,Maximum,15,210
Barisal,2020,5,Minimum,2,50
Barisal,2020,6,Maximum,4,200
Barisal,2020,6,Minimum,1,90
Barisal,2020,7,Maximum,4,190
Barisal,2020,7,Minimum,1,180
Barisal,2020,8,Maximum,5,170
Barisal,2020,8,Minimum,1,180
Barisal,2020,9,Maximum,5,60
Barisal,2020,9,Minimum,1,150
Barisal,2020,10,Maximum,4,90
Barisal,2020,10,Minimum,1,150
Barisal,2020,11,Maximum,1,340
Barisal,2020,11,Minimum,2,90
Barisal,2020,12,Maximum,1,320
Barisal,2020,12,Minimum,1,360
Barisal,2021,1,Maximum,2,150
Barisal,2021,1,Minimum,2,360
Barisal,2021,2,Maximum,2,180
Barisal,2021,2,Minimum,1,320
Barisal,2021,3,Maximum,5,210
Barisal,2021,3,Minimum,1,180
Barisal,2021,4,Maximum,5,350
Barisal,2021,4,Minimum,1,180
Barisal,2021,5,Maximum,7.5,160
Barisal,2021,5,Minimum,2,30
Barisal,2021,6,Maximum,4,100
Barisal,2021,6,Minimum,2,210
Barisal,2021,7,Maximum,5,150
Barisal,2021,7,Minimum,1,320
Barisal,2021,8,Maximum,4,150
Barisal,2021,8,Minimum,2,210
Barisal,2021,9,Maximum,6,90
Barisal,2021,9,Minimum,2,120
Barisal,2021,10,Maximum,3,160
Barisal,2021,10,Minimum,2,90
Barisal,2021,11,Maximum,1,310
Barisal,2021,11,Minimum,2,320
Barisal,2021,12,Maximum,4,80
Barisal,2021,12,Minimum,2,360
Barisal,2022,1,Maximum,2,360
Barisal,2022,1,Minimum,1,360
Barisal,2022,2,Maximum,2.5,320
Barisal,2022,2,Minimum,2,320
Barisal,2022,3,Maximum,5,190
Barisal,2022,3,Minimum,2,210
Barisal,2022,4,Maximum,5,180
Barisal,2022,4,Minimum,2,180
Barisal,2022,5,Maximum,6,310
