Station_Name,Year,Month,Rainfall
Barisal,1979,2,14
Barisal,1979,3,30
Barisal,1979,4,38
Barisal,1979,5,67
Barisal,1979,6,453
Barisal,1979,7,559
Barisal,1979,8,642
Barisal,1979,9,316
Barisal,1979,10,127
Barisal,1979,11,31
Barisal,1979,12,47
Barisal,1980,1,0
Barisal,1980,2,55
Barisal,1980,3,47
Barisal,1980,4,13
Barisal,1980,5,235
Barisal,1980,6,272
Barisal,1980,7,526
Barisal,1980,8,297
Barisal,1980,9,192
Barisal,1980,10,282
Barisal,1980,11,0
Barisal,1980,12,0
Barisal,1981,1,24
Barisal,1981,2,43
Barisal,1981,3,115
Barisal,1981,4,412
Barisal,1981,5,280
Barisal,1981,6,433
Barisal,1981,7,521
Barisal,1981,8,217
Barisal,1981,9,173
Barisal,1981,10,71
Barisal,1981,11,0
Barisal,1981,12,33
Barisal,1982,1,0
Barisal,1982,2,57
Barisal,1982,3,17
Barisal,1982,4,178
Barisal,1982,5,65
Barisal,1982,6,465
Barisal,1982,7,223
Barisal,1982,8,593
Barisal,1982,9,219
Barisal,1982,10,6
Barisal,1982,11,34
Barisal,1982,12,11
Barisal,1983,1,8
Barisal,1983,2,39
Barisal,1983,3,18
Barisal,1983,4,92
Barisal,1983,5,318
Barisal,1983,6,292
Barisal,1983,7,399
Barisal,1983,8,575
Barisal,1983,9,312
Barisal,1983,10,192
Barisal,1983,11,48
Barisal,1983,12,19
Barisal,1984,1,16
Barisal,1984,2,0
Barisal,1984,3,1
Barisal,1984,4,102
Barisal,1984,5,283
Barisal,1984,6,1025
Barisal,1984,7,448
Barisal,1984,8,431
Barisal,1984,9,224
Barisal,1984,10,118
Barisal,1984,11,0
Barisal,1984,12,1
Barisal,1985,1,1
Barisal,1985,2,2
Barisal,1985,3,45
Barisal,1985,4,64
Barisal,1985,5,226
Barisal,1985,6,322
Barisal,1985,7,291
Barisal,1985,8,308
Barisal,1985,9,180
Barisal,1985,10,198
Barisal,1985,11,8
Barisal,1985,12,0
Barisal,1986,1,6
Barisal,1986,2,0
Barisal,1986,3,7
Barisal,1986,4,102
Barisal,1986,5,181
Barisal,1986,6,254
Barisal,1986,7,381
Barisal,1986,8,252
Barisal,1986,9,526
Barisal,1986,10,135
Barisal,1986,11,274
Barisal,1986,12,1
Barisal,1987,1,4
Barisal,1987,2,3
Barisal,1987,3,8
Barisal,1987,4,150
Barisal,1987,5,96
Barisal,1987,6,185
Barisal,1987,7,568
Barisal,1987,8,683
Barisal,1987,9,302
Barisal,1987,10,93
Barisal,1987,11,37
Barisal,1987,12,0
Barisal,1988,1,0
Barisal,1988,2,22
Barisal,1988,3,65
Barisal,1988,4,96
Barisal,1988,5,393
Barisal,1988,6,565
Barisal,1988,7,422
Barisal,1988,8,459
Barisal,1988,9,228
Barisal,1988,10,101
Barisal,1988,11,113
Barisal,1988,12,0
Barisal,1989,1,0
Barisal,1989,2,14
Barisal,1989,3,1
Barisal,1989,4,89
Barisal,1989,5,164
Barisal,1989,6,206
Barisal,1989,7,453
Barisal,1989,8,203
Barisal,1989,9,413
Barisal,1989,10,451
Barisal,1989,11,0
Barisal,1989,12,0
Barisal,1990,1,0
Barisal,1990,2,79
Barisal,1990,3,182
Barisal,1990,4,139
Barisal,1990,5,352
Barisal,1990,6,386
Barisal,1990,7,457
Barisal,1990,8,299
Barisal,1990,9,190
Barisal,1990,10,194
Barisal,1990,11,70
Barisal,1990,12,30
Barisal,1991,1,10
Barisal,1991,2,14
Barisal,1991,3,38
Barisal,1991,4,53
Barisal,1991,5,191
Barisal,1991,6,562
Barisal,1991,7,356
Barisal,1991,8,369
Barisal,1991,9,232
Barisal,1991,10,497
Barisal,1991,11,54
Barisal,1991,12,16
Barisal,1992,1,4
Barisal,1992,2,98
Barisal,1992,3,0
Barisal,1992,4,1
Barisal,1992,5,205
Barisal,1992,6,190
Barisal,1992,7,299
Barisal,1992,8,326
Barisal,1992,9,210
Barisal,1992,10,98
Barisal,1992,11,8
Barisal,1992,12,0
Barisal,1993,1,1
Barisal,1993,2,35
Barisal,1993,3,235
Barisal,1993,4,216
Barisal,1993,5,393
Barisal,1993,6,390
Barisal,1993,7,410
Barisal,1993,8,493
Barisal,1993,9,238
Barisal,1993,10,134
Barisal,1993,11,21
Barisal,1993,12,0
Barisal,1994,1,4
Barisal,1994,2,13
Barisal,1994,3,92
Barisal,1994,4,101
Barisal,1994,5,178
Barisal,1994,6,571
Barisal,1994,7,202
Barisal,1994,8,378
Barisal,1994,9,144
Barisal,1994,10,87
Barisal,1994,11,7
Barisal,1994,12,0
Barisal,1995,1,1
Barisal,1995,2,62
Barisal,1995,3,6
Barisal,1995,4,12
Barisal,1995,5,144
Barisal,1995,6,657
Barisal,1995,7,517
Barisal,1995,8,342
Barisal,1995,9,208
Barisal,1995,10,156
Barisal,1995,11,153
Barisal,1995,12,0
Barisal,1996,1,0
Barisal,1996,2,19
Barisal,1996,3,12
Barisal,1996,4,131
Barisal,1996,5,98
Barisal,1996,6,446
Barisal,1996,7,314
Barisal,1996,8,322
Barisal,1996,9,202
Barisal,1996,10,270
Barisal,1996,11,4
Barisal,1996,12,1
Barisal,1997,1,1
Barisal,1997,2,30
Barisal,1997,3,79
Barisal,1997,4,203
Barisal,1997,5,235
Barisal,1997,6,205
Barisal,1997,7,406
Barisal,1997,8,191
Barisal,1997,9,378
Barisal,1997,10,7
Barisal,1997,11,11
Barisal,1997,12,12
Barisal,1998,1,148
Barisal,1998,2,54
Barisal,1998,3,273
Barisal,1998,4,251
Barisal,1998,5,179
Barisal,1998,6,208
Barisal,1998,7,616
Barisal,1998,8,516
Barisal,1998,9,254
Barisal,1998,10,89
Barisal,1998,11,270
Barisal,1998,12,0
Barisal,1999,1,0
Barisal,1999,2,0
Barisal,1999,3,0
Barisal,1999,4,20
Barisal,1999,5,212
Barisal,1999,6,260
Barisal,1999,7,527
Barisal,1999,8,404
Barisal,1999,9,301
Barisal,1999,10,228
Barisal,1999,11,1
Barisal,1999,12,2
Barisal,2000,1,19
Barisal,2000,2,16
Barisal,2000,3,50
Barisal,2000,4,135
Barisal,2000,5,246
Barisal,2000,6,286
Barisal,2000,7,389
Barisal,2000,8,203
Barisal,2000,9,245
Barisal,2000,10,171
Barisal,2000,11,10
Barisal,2000,12,0
Barisal,2001,1,0
Barisal,2001,2,17
Barisal,2001,3,4
Barisal,2001,4,16
Barisal,2001,5,282
Barisal,2001,6,641
Barisal,2001,7,556
Barisal,2001,8,191
Barisal,2001,9,149
Barisal,2001,10,305
Barisal,2001,11,67
Barisal,2001,12,0
Barisal,2002,1,19
Barisal,2002,2,0
Barisal,2002,3,36
Barisal,2002,4,101
Barisal,2002,5,324
Barisal,2002,6,577
Barisal,2002,7,717
Barisal,2002,8,272
Barisal,2002,9,346
Barisal,2002,10,53
Barisal,2002,11,92
Barisal,2002,12,0
Barisal,2003,1,0
Barisal,2003,2,4
Barisal,2003,3,117
Barisal,2003,4,104
