Station_Name,Year,Month,Thunderstorm,Lightning
Chuadanga,2024,5,31,0
Chuadanga,2024,6,23,1
Chuadanga,2024,7,8,0
Chuadanga,2024,8,10,
Chuadanga,2024,9,29,
Chuadanga,2024,10,5,
Chuadanga,2024,11,1,
Chuadanga,2024,12,0,
Comilla,2015,1,0,0
Comilla,2015,2,3,0
Comilla,2015,3,0,0
Comilla,2015,4,37,1
Comilla,2015,5,27,1
Comilla,2015,6,11,0
Comilla,2015,7,11,0
Comilla,2015,8,10,1
Comilla,2015,9,8,1
Comilla,2015,10,3,0
Comilla,2015,11,0,0
Comilla,2015,12,2,0
Comilla,2016,1,0,0
Comilla,2016,2,0,0
Comilla,2016,3,18,2
Comilla,2016,4,8,1
Comilla,2016,5,43,1
Comilla,2016,6,19,0
Comilla,2016,7,18,0
Comilla,2016,8,18,1
Comilla,2016,9,13,2
Comilla,2016,10,12,0
Comilla,2016,11,3,0
Comilla,2016,12,0,0
Comilla,2017,1,0,0
Comilla,2017,2,0,0
Comilla,2017,3,36,2
Comilla,2017,4,56,1
Comilla,2017,5,31,1
Comilla,2017,6,31,2
Comilla,2017,7,9,0
Comilla,2017,8,16,5
Comilla,2017,9,16,1
Comilla,2017,10,5,0
Comilla,2017,11,0,0
Comilla,2017,12,0,0
Comilla,2018,1,0,0
Comilla,2018,2,4,0
Comilla,2018,3,4,0
Comilla,2018,4,60,1
Comilla,2018,5,68,2
Comilla,2018,6,34,5
Comilla,2018,7,1,0
Comilla,2018,8,12,3
Comilla,2018,9,31,0
Comilla,2018,10,0,1
Comilla,2018,11,0,0
Comilla,2018,12,0,0
Comilla,2019,1,0,0
Comilla,2019,2,20,0
Comilla,2019,3,11,1
Comilla,2019,4,36,1
Comilla,2019,5,33,2
Comilla,2019,6,20,4
Comilla,2019,7,33,0
Comilla,2019,8,13,6
Comilla,2019,9,24,5
Comilla,2019,10,14,0
Comilla,2019,11,0,0
Comilla,2019,12,0,0
Comilla,2020,1,1,0
Comilla,2020,2,0,0
Comilla,2020,3,1,0
Comilla,2020,4,53,2
Comilla,2020,5,37,1
Comilla,2020,6,47,3
Comilla,2020,7,22,1
Comilla,2020,8,19,1
Comilla,2020,9,37,1
Comilla,2020,10,19,4
Comilla,2020,11,0,0
Comilla,2020,12,0,0
Comilla,2021,1,0,0
Comilla,2021,2,0,0
Comilla,2021,3,2,0
Comilla,2021,4,2,0
Comilla,2021,5,31,2
Comilla,2021,6,40,1
Comilla,2021,7,20,3
Comilla,2021,8,22,0
Comilla,2021,9,43,3
Comilla,2021,10,25,2
Comilla,2021,11,0,0
Comilla,2021,12,0,0
Comilla,2022,1,0,0
Comilla,2022,2,4,0
Comilla,2022,3,0,0
Comilla,2022,4,18,0
Comilla,2022,5,49,0
Comilla,2022,6,41,0
Comilla,2022,7,11,0
Comilla,2022,8,29,2
Comilla,2022,9,33,0
Comilla,2022,10,25,2
Comilla,2022,11,0,0
Comilla,2022,12,0,0
Comilla,2023,1,0,0
Comilla,2023,2,0,0
Comilla,2023,3,35,0
Comilla,2023,4,10,1
Comilla,2023,5,22,0
Comilla,2023,6,39,0
Comilla,2023,7,22,1
Comilla,2023,8,19,0
Comilla,2023,9,40,3
Comilla,2023,10,7,0
Comilla,2023,11,1,0
Comilla,2023,12,0,0
Comilla,2024,1,0,0
Comilla,2024,2,1,0
Comilla,2024,3,20,2
Comilla,2024,4,15,0
Comilla,2024,5,39,4
Cox's Bazar,2015,1,0,0
Cox's Bazar,2015,2,0,0
Cox's Bazar,2015,3,2,0
Cox's Bazar,2015,4,11,0
Cox's Bazar,2015,5,11,0
Cox's Bazar,2015,6,37,0
Cox's Bazar,2015,7,13,0
Cox's Bazar,2015,8,3,0
Cox's Bazar,2015,9,15,3
Cox's Bazar,2015,10,20,0
Cox's Bazar,2015,11,0,0
Cox's Bazar,2015,12,0,0
Cox's Bazar,2016,1,0,0
Cox's Bazar,2016,2,0,0
Cox's Bazar,2016,3,5,0
Cox's Bazar,2016,4,6,0
Cox's Bazar,2016,5,23,0
Cox's Bazar,2016,6,35,0
Cox's Bazar,2016,7,13,0
Cox's Bazar,2016,8,7,0
Cox's Bazar,2016,9,15,1
Cox's Bazar,2016,10,28,3
Cox's Bazar,2016,11,3,0
Cox's Bazar,2016,12,0,0
Cox's Bazar,2017,1,0,0
Cox's Bazar,2017,2,0,0
Cox's Bazar,2017,3,8,0
Cox's Bazar,2017,4,29,0
Cox's Bazar,2017,5,12,1
Cox's Bazar,2017,6,21,0
Cox's Bazar,2017,7,10,0
Cox's Bazar,2017,8,2,0
