Station_Name,Year,Month,Type,Temp
Ambagan (Ctg),2012,12,Minimum,14.3
Ambagan (Ctg),2013,1,Maximum,26.8
Ambagan (Ctg),2013,1,Minimum,12.7
Ambagan (Ctg),2013,2,Maximum,31.2
Ambagan (Ctg),2013,2,Minimum,16.7
Ambagan (Ctg),2013,3,Maximum,32.6
Ambagan (Ctg),2013,3,Minimum,21
Ambagan (Ctg),2013,4,Maximum,33.3
Ambagan (Ctg),2013,4,Minimum,24.3
Ambagan (Ctg),2013,5,Maximum,30.9
Ambagan (Ctg),2013,5,Minimum,24.5
Ambagan (Ctg),2013,6,Maximum,32.5
Ambagan (Ctg),2013,6,Minimum,26
Ambagan (Ctg),2013,7,Maximum,31.4
Ambagan (Ctg),2013,7,Minimum,25.8
Ambagan (Ctg),2013,8,Maximum,31.4
Ambagan (Ctg),2013,8,Minimum,25.7
Ambagan (Ctg),2013,9,Maximum,32.1
Ambagan (Ctg),2013,9,Minimum,25.4
Ambagan (Ctg),2013,10,Maximum,31.2
Ambagan (Ctg),2013,10,Minimum,24
Ambagan (Ctg),2013,11,Maximum,31.5
Ambagan (Ctg),2013,11,Minimum,19.1
Ambagan (Ctg),2013,12,Maximum,28
Ambagan (Ctg),2013,12,Minimum,15.8
Ambagan (Ctg),2014,1,Maximum,27.4
Ambagan (Ctg),2014,1,Minimum,14.2
Ambagan (Ctg),2014,2,Maximum,28.9
Ambagan (Ctg),2014,2,Minimum,16.5
Ambagan (Ctg),2014,3,Maximum,32.3
Ambagan (Ctg),2014,3,Minimum,20.5
Ambagan (Ctg),2014,4,Maximum,35
Ambagan (Ctg),2014,4,Minimum,25.1
Ambagan (Ctg),2014,5,Maximum,33.6
Ambagan (Ctg),2014,5,Minimum,26
Ambagan (Ctg),2014,6,Maximum,32.2
Ambagan (Ctg),2014,6,Minimum,25.5
Ambagan (Ctg),2014,7,Maximum,32.4
Ambagan (Ctg),2014,7,Minimum,26.1
Ambagan (Ctg),2014,8,Maximum,31.3
Ambagan (Ctg),2014,8,Minimum,25.4
Ambagan (Ctg),2014,9,Maximum,32.6
Ambagan (Ctg),2014,9,Minimum,25.3
Ambagan (Ctg),2014,10,Maximum,32.9
Ambagan (Ctg),2014,10,Minimum,23.9
Ambagan (Ctg),2014,11,Maximum,31.6
Ambagan (Ctg),2014,11,Minimum,20
Ambagan (Ctg),2014,12,Maximum,28.4
Ambagan (Ctg),2014,12,Minimum,16
Ambagan (Ctg),2015,1,Maximum,27.6
Ambagan (Ctg),2015,1,Minimum,15.6
Ambagan (Ctg),2015,2,Maximum,29.7
Ambagan (Ctg),2015,2,Minimum,16.8
Ambagan (Ctg),2015,3,Maximum,33.3
Ambagan (Ctg),2015,3,Minimum,20.7
Ambagan (Ctg),2015,4,Maximum,32.3
Ambagan (Ctg),2015,4,Minimum,23.4
Ambagan (Ctg),2015,5,Maximum,33.6
Ambagan (Ctg),2015,5,Minimum,25.8
Ambagan (Ctg),2015,6,Maximum,32.3
Ambagan (Ctg),2015,6,Minimum,26.2
Ambagan (Ctg),2015,7,Maximum,30.4
Ambagan (Ctg),2015,7,Minimum,25.3
Ambagan (Ctg),2015,8,Maximum,31.5
Ambagan (Ctg),2015,8,Minimum,25.8
Ambagan (Ctg),2015,9,Maximum,32.6
Ambagan (Ctg),2015,9,Minimum,25.7
Ambagan (Ctg),2015,10,Maximum,32.2
Ambagan (Ctg),2015,10,Minimum,23.9
Ambagan (Ctg),2015,11,Maximum,30.9
Ambagan (Ctg),2015,11,Minimum,19.9
Ambagan (Ctg),2015,12,Maximum,27.2
Ambagan (Ctg),2015,12,Minimum,16.5
Ambagan (Ctg),2016,1,Maximum,26.7
Ambagan (Ctg),2016,1,Minimum,14.6
Ambagan (Ctg),2016,2,Maximum,30.2
Ambagan (Ctg),2016,2,Minimum,19.6
Ambagan (Ctg),2016,3,Maximum,32.9
Ambagan (Ctg),2016,3,Minimum,22.7
Ambagan (Ctg),2016,4,Maximum,32.8
Ambagan (Ctg),2016,4,Minimum,26.2
Ambagan (Ctg),2016,5,Maximum,33.2
Ambagan (Ctg),2016,5,Minimum,25.3
Ambagan (Ctg),2016,6,Maximum,32.7
Ambagan (Ctg),2016,6,Minimum,25.9
Ambagan (Ctg),2016,7,Maximum,31.2
Ambagan (Ctg),2016,7,Minimum,25.7
Ambagan (Ctg),2016,8,Maximum,31.7
Ambagan (Ctg),2016,8,Minimum,25.9
Ambagan (Ctg),2016,9,Maximum,32.6
Ambagan (Ctg),2016,9,Minimum,25.7
Ambagan (Ctg),2016,10,Maximum,32.7
Ambagan (Ctg),2016,10,Minimum,24.8
Ambagan (Ctg),2016,11,Maximum,30.1
Ambagan (Ctg),2016,11,Minimum,20
Ambagan (Ctg),2016,12,Maximum,29.3
Ambagan (Ctg),2016,12,Minimum,17.5
Ambagan (Ctg),2017,1,Maximum,28.83
Ambagan (Ctg),2017,1,Minimum,15.09
Ambagan (Ctg),2017,2,Maximum,30.86
Ambagan (Ctg),2017,2,Minimum,17.79
Ambagan (Ctg),2017,3,Maximum,30.55
Ambagan (Ctg),2017,3,Minimum,20.49
Ambagan (Ctg),2017,4,Maximum,31.79
Ambagan (Ctg),2017,4,Minimum,23.85
Ambagan (Ctg),2017,5,Maximum,33.72
Ambagan (Ctg),2017,5,Minimum,26.05
Ambagan (Ctg),2017,6,Maximum,31.87
Ambagan (Ctg),2017,6,Minimum,25.46
Ambagan (Ctg),2017,7,Maximum,30.85
Ambagan (Ctg),2017,7,Minimum,25.67
Ambagan (Ctg),2017,8,Maximum,31.86
Ambagan (Ctg),2017,8,Minimum,25.77
Ambagan (Ctg),2017,9,Maximum,31.89
Ambagan (Ctg),2017,9,Minimum,25.5
Ambagan (Ctg),2017,10,Maximum,32.24
Ambagan (Ctg),2017,10,Minimum,24.61
Ambagan (Ctg),2017,11,Maximum,31.77
Ambagan (Ctg),2017,11,Minimum,21
Ambagan (Ctg),2017,12,Maximum,28.71
Ambagan (Ctg),2017,12,Minimum,17.39
Ambagan (Ctg),2018,1,Maximum,25.93
Ambagan (Ctg),2018,1,Minimum,13.98
Ambagan (Ctg),2018,2,Maximum,29.81
Ambagan (Ctg),2018,2,Minimum,18.18
Ambagan (Ctg),2018,3,Maximum,31.99
Ambagan (Ctg),2018,3,Minimum,21.86
Ambagan (Ctg),2018,4,Maximum,32.92
Ambagan (Ctg),2018,4,Minimum,23.87
Ambagan (Ctg),2018,5,Maximum,32.19
Ambagan (Ctg),2018,5,Minimum,24.16
Ambagan (Ctg),2018,6,Maximum,31.67
Ambagan (Ctg),2018,6,Minimum,25.76
Ambagan (Ctg),2018,7,Maximum,31.43
Ambagan (Ctg),2018,7,Minimum,25.77
Ambagan (Ctg),2018,8,Maximum,32.55
Ambagan (Ctg),2018,8,Minimum,25.91
Ambagan (Ctg),2018,9,Maximum,33.11
Ambagan (Ctg),2018,9,Minimum,25.71
Ambagan (Ctg),2018,10,Maximum,30.86
Ambagan (Ctg),2018,10,Minimum,23.17
Ambagan (Ctg),2018,11,Maximum,30.54
Ambagan (Ctg),2018,11,Minimum,19.29
Ambagan (Ctg),2018,12,Maximum,27.22
Ambagan (Ctg),2018,12,Minimum,15.95
Ambagan (Ctg),2019,1,Maximum,28.1
Ambagan (Ctg),2019,1,Minimum,14.5
Ambagan (Ctg),2019,2,Maximum,29
Ambagan (Ctg),2019,2,Minimum,16.9
Ambagan (Ctg),2019,3,Maximum,31.3
Ambagan (Ctg),2019,3,Minimum,20.9
Ambagan (Ctg),2019,4,Maximum,33.6
Ambagan (Ctg),2019,4,Minimum,23.9
Ambagan (Ctg),2019,5,Maximum,33.9
Ambagan (Ctg),2019,5,Minimum,25.9
Ambagan (Ctg),2019,6,Maximum,32.9
Ambagan (Ctg),2019,6,Minimum,26.5
Ambagan (Ctg),2019,7,Maximum,31.1
Ambagan (Ctg),2019,7,Minimum,25.6
Ambagan (Ctg),2019,8,Maximum,32.2
Ambagan (Ctg),2019,8,Minimum,26.1
Ambagan (Ctg),2019,9,Maximum,32.1
Ambagan (Ctg),2019,9,Minimum,25.6
Ambagan (Ctg),2019,10,Maximum,32.1
Ambagan (Ctg),2019,10,Minimum,24.6
Ambagan (Ctg),2019,11,Maximum,31.2
Ambagan (Ctg),2019,11,Minimum,20.9
Ambagan (Ctg),2019,12,Maximum,27.5
Ambagan (Ctg),2019,12,Minimum,15.9
Ambagan (Ctg),2020,1,Maximum,26.4
Ambagan (Ctg),2020,1,Minimum,15
Ambagan (Ctg),2020,2,Maximum,28.2
Ambagan (Ctg),2020,2,Minimum,15.8
Ambagan (Ctg),2020,3,Maximum,32.7
Ambagan (Ctg),2020,3,Minimum,20.8
Ambagan (Ctg),2020,4,Maximum,32.7
Ambagan (Ctg),2020,4,Minimum,23.6
Ambagan (Ctg),2020,5,Maximum,33.3
Ambagan (Ctg),2020,5,Minimum,25.3
Ambagan (Ctg),2020,6,Maximum,32.3
Ambagan (Ctg),2020,6,Minimum,26
Ambagan (Ctg),2020,7,Maximum,31.8
Ambagan (Ctg),2020,7,Minimum,25.8
Ambagan (Ctg),2020,8,Maximum,31.8
Ambagan (Ctg),2020,8,Minimum,25.8
Ambagan (Ctg),2020,9,Maximum,32.5
Ambagan (Ctg),2020,9,Minimum,26.1
Ambagan (Ctg),2020,10,Maximum,33.4
Ambagan (Ctg),2020,10,Minimum,26
Ambagan (Ctg),2020,11,Maximum,31.7
Ambagan (Ctg),2020,11,Minimum,20.7
Ambagan (Ctg),2020,12,Maximum,28.1
Ambagan (Ctg),2020,12,Minimum,16.2
Ambagan (Ctg),2021,1,Maximum,28.1
Ambagan (Ctg),2021,1,Minimum,15.9
Ambagan (Ctg),2021,2,Maximum,30
Ambagan (Ctg),2021,2,Minimum,17
Ambagan (Ctg),2021,3,Maximum,33.5
Ambagan (Ctg),2021,3,Minimum,22.8
Ambagan (Ctg),2021,4,Maximum,33.9
Ambagan (Ctg),2021,4,Minimum,25
Ambagan (Ctg),2021,5,Maximum,33.8
Ambagan (Ctg),2021,5,Minimum,25.6
Ambagan (Ctg),2021,6,Maximum,31
Ambagan (Ctg),2021,6,Minimum,25.5
Ambagan (Ctg),2021,7,Maximum,31.2
Ambagan (Ctg),2021,7,Minimum,25.5
Ambagan (Ctg),2021,8,Maximum,31.1
Ambagan (Ctg),2021,8,Minimum,25.2
Ambagan (Ctg),2021,9,Maximum,32.6
Ambagan (Ctg),2021,9,Minimum,25.6
Ambagan (Ctg),2021,10,Maximum,32.8
Ambagan (Ctg),2021,10,Minimum,25.3
Ambagan (Ctg),2021,11,Maximum,31.5
Ambagan (Ctg),2021,11,Minimum,20.6
Ambagan (Ctg),2021,12,Maximum,27.9
Ambagan (Ctg),2021,12,Minimum,17.1
Ambagan (Ctg),2022,1,Maximum,26.5
Ambagan (Ctg),2022,1,Minimum,15.8
Ambagan (Ctg),2022,2,Maximum,28.7
Ambagan (Ctg),2022,2,Minimum,15.7
Ambagan (Ctg),2022,3,Maximum,33
Ambagan (Ctg),2022,3,Minimum,22
