Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Rajshahi,2015,5,Temperature,Minimum,24.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,6,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,7,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,8,Temperature,Minimum,26.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,9,Temperature,Minimum,25.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,10,Temperature,Minimum,23,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,11,Temperature,Minimum,18,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2015,12,Temperature,Minimum,13.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,1,Temperature,Minimum,10.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,2,Temperature,Minimum,15.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,3,Temperature,Minimum,19.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,4,Temperature,Minimum,24.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,5,Temperature,Minimum,24,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,6,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,7,Temperature,Minimum,26.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,8,Temperature,Minimum,26.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rajshahi,2016,9,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
